stop_name,stop_lat,stop_lon,stop_id,stop_desc,zone_id,location_type,parent_station,platform_code
Aadarsh Shivalaya Society,22.2297351,70.8178093,1015,Aadarsh Shivalaya Society,A,1,1015,1
Aaji 66 kv Station (aaji vasahat road crossing),22.27270763,70.82988153,377,Aaji 66 kv Station (aaji vasahat road crossing),A,1,377,1
Aambedkar Nagar,22.28386172,70.82277789,150,Aambedkar Nagar,A,1,150,1
Aarti Industrial Area,22.275025,70.851605,141,Aarti Industrial Area,A,1,141,1
Aastha Resi./Rameshwer Park,22.32562,70.792695,30,Aastha Resi./Rameshwer Park,A,1,30,1
Aditya 79 Housing Co. Opearating Service Society,22.27542141,70.73107144,1555,Aditya 79 Housing Co. Opearating Service Society,A,1,1555,1
Agricultural Science Centre/Targhdi,22.3417872,70.9110196,1285,Agricultural Science Centre/Targhdi,A,1,1285,1
Ahir Chowk,22.261585,70.804715,363,Ahir Chowk,A,1,363,1
Aji G.I.D.C.,22.28381,70.822815,149,Aji G.I.D.C.,A,1,149,1
Aji Vasahat,22.275705,70.83248,378,Aji Vasahat,A,1,378,1
Ajidam,22.27814529,70.83593937,146,Ajidam,A,1,146,1
Akashwani Chowk,22.287615,70.75939,158,Akashwani Chowk,A,1,158,1
Alap Green City,22.300905,70.757075,347,Alap Green City,A,1,347,1
Alap Heritage,22.27612,70.77138,327,Alap Heritage,A,1,327,1
Alkapuri,22.29978,70.778215,204,Alkapuri,A,1,204,1
Ambaji Kadva Plot,22.26849,70.796285,309,Ambaji Kadva Plot,A,1,309,1
Ambedkar Nagar RMTS,22.25542801,70.78854173,1508,Ambedkar Nagar RMTS,A,1,1508,1
Amrut Park Main Road,22.30540811,70.75795516,1188,Amrut Park Main Road,A,1,1188,1
Anand Bunglow Chowk,22.27291,70.79368,424,Anand Bunglow Chowk,A,1,424,1
Arpit eng. Collage (Hadala Gam),22.435485,70.78159,482,Arpit eng. Collage (Hadala Gam),A,1,482,1
Aryanagar - Pedak road,22.3051,70.823225,340,Aryanagar - Pedak road,A,1,340,1
Aryasamaj,22.28721,70.80102,19,Aryasamaj,A,1,19,1
