trip_id,arrival_time,departure_time,stop_id,stop_sequence
WD10,06:06:00,06:07:10,137_1,20
WD10,06:07:10,06:08:20,295_1,21
WD10,06:08:20,06:09:30,194_1,22
WD10,06:09:30,06:10:40,281_1,23
WD10,06:10:40,06:11:50,33_1,24
WD10,06:11:50,06:13:00,348_1,25
WD10,06:13:00,06:14:10,4_1,26
WD10,06:14:10,06:15:20,10_1,27
WD10,06:15:20,06:16:30,12_1,28
WD10,06:16:30,06:17:40,11_1,29
WD10,06:17:40,06:18:50,498_1,30
WD10,06:18:50,06:20:00,366_1,31
WD10,06:20:00,06:21:10,347_1,32
WD10,06:21:10,06:22:20,294_1,33
WD10,06:22:20,06:55:00,81_1,34
WD11,05:50:00,05:50:00,41_1,1
WD11,05:50:00,05:51:10,45_1,2
WD11,05:51:10,05:52:20,16_1,3
WD11,05:52:20,05:53:30,5_1,4
WD11,05:53:30,05:54:40,14_1,5
WD11,05:54:40,05:55:50,355_1,6
WD11,05:55:50,05:57:00,20_1,7
WD11,05:57:00,05:58:10,15_1,8
WD11,05:58:10,05:59:20,13_1,9
WD11,05:59:20,06:00:30,42_1,10
WD11,06:00:30,06:01:40,375_1,11
WD11,06:01:40,06:02:50,309_1,12
WD11,06:02:50,06:04:00,19_1,13
WD11,06:04:00,06:05:10,22_1,14
WD11,06:05:10,06:06:20,48_1,15
WD11,06:06:20,06:07:30,37_1,16
WD11,06:07:30,06:08:40,30_1,17
WD11,06:08:40,06:09:50,35_1,18
WD11,06:09:50,06:11:00,240_1,19
WD11,06:11:00,06:12:10,137_1,20
WD11,06:12:10,06:13:20,295_1,21
WD11,06:13:20,06:14:30,194_1,22
WD11,06:14:30,06:15:40,281_1,23
WD11,06:15:40,06:16:50,33_1,24
WD11,06:16:50,06:18:00,348_1,25
WD11,06:18:00,06:19:10,4_1,26
WD11,06:19:10,06:20:20,10_1,27
WD11,06:20:20,06:21:30,12_1,28
WD11,06:21:30,06:22:40,11_1,29
WD11,06:22:40,06:23:50,498_1,30
WD11,06:23:50,06:25:00,366_1,31
WD11,06:25:00,06:26:10,347_1,32
WD11,06:26:10,06:27:20,294_1,33
WD11,06:27:20,07:00:00,81_1,34
WD12,06:00:00,06:00:00,41_1,1
WD12,06:00:00,06:01:10,45_1,2
WD12,06:01:10,06:02:20,16_1,3
WD12,06:02:20,06:03:30,5_1,4
WD12,06:03:30,06:04:40,14_1,5
WD12,06:04:40,06:05:50,355_1,6
WD12,06:05:50,06:07:00,20_1,7
WD12,06:07:00,06:08:10,15_1,8
WD12,06:08:10,06:09:20,13_1,9
WD12,06:09:20,06:10:30,42_1,10
WD12,06:10:30,06:11:40,375_1,11
WD12,06:11:40,06:12:50,309_1,12
